Date,Open,High,Low,Close,Adj Close,Volume
2020-02-13,7103.200195,7103.200195,7103.200195,7103.200195,7103.200195,0
2020-02-14,7103.200195,7138.399902,7101.100098,7130.200195,7130.200195,691300
2020-02-17,7130.200195,7137.399902,7104.399902,7125.100098,7125.100098,501900
2020-02-18,7125.100098,7125.100098,7096.799805,7113.700195,7113.700195,627500
2020-02-19,7113.799805,7144.600098,7102.899902,7144.600098,7144.600098,866400
2020-02-20,7144.600098,7197.200195,7144.600098,7162.500000,7162.500000,832800
2020-02-21,7162.500000,7162.600098,7135.700195,7139.000000,7139.000000,1072700
2020-02-24,7120.899902,7120.899902,6967.899902,6978.299805,6978.299805,799000
2020-02-25,6978.299805,6978.299805,6800.000000,6866.600098,6866.600098,1038800
2020-02-26,6866.600098,6866.600098,6690.100098,6708.100098,6708.100098,1007900
2020-02-27,6709.299805,6728.200195,6630.500000,6657.899902,6657.899902,1020900
2020-02-28,6657.899902,6657.899902,6426.799805,6441.200195,6441.200195,1524000
2020-03-02,6438.899902,6438.899902,6245.200195,6391.500000,6391.500000,1182700
2020-03-03,6391.500000,6524.299805,6391.500000,6435.700195,6435.700195,1046900
2020-03-04,6435.700195,6435.700195,6310.200195,6325.399902,6325.399902,1024100
2020-03-05,6325.399902,6447.100098,6325.399902,6395.700195,6395.700195,989800
2020-03-06,6395.700195,6395.700195,6216.200195,6216.200195,6216.200195,959400
2020-03-09,6216.200195,6216.200195,5760.600098,5760.600098,5760.600098,1444300
2020-03-10,5760.600098,5939.600098,5538.899902,5939.600098,5939.600098,1803100
2020-03-11,5939.600098,5972.500000,5725.899902,5725.899902,5725.899902,1407500
2020-03-12,5725.899902,5725.899902,5290.000000,5304.600098,5304.600098,1818300
2020-03-13,5304.600098,5539.299805,4873.700195,5539.299805,5539.299805,2260700
2020-03-16,5539.299805,5539.299805,5002.000000,5002.000000,5002.000000,1638500
2020-03-17,5002.000000,5303.700195,4997.299805,5293.399902,5293.399902,1998200
2020-03-18,5293.399902,5293.399902,4888.100098,4953.200195,4953.200195,1774000
2020-03-19,4953.200195,5102.500000,4741.000000,4782.899902,4782.899902,1877500
2020-03-20,4782.899902,5016.100098,4782.899902,4816.600098,4816.600098,1872000
2020-03-23,4753.899902,4761.000000,4402.500000,4546.000000,4546.000000,1486000
2020-03-24,4546.000000,4735.700195,4546.000000,4735.700195,4735.700195,1408000
2020-03-25,4735.700195,5024.500000,4735.700195,4998.100098,4998.100098,1355600
2020-03-26,4998.100098,5174.399902,4998.100098,5113.299805,5113.299805,1216700
2020-03-27,5113.299805,5236.700195,4842.399902,4842.399902,4842.399902,1456800
2020-03-30,4842.399902,5181.399902,4833.100098,5181.399902,5181.399902,1033800
2020-03-31,5181.399902,5366.399902,5005.799805,5076.799805,5076.799805,1522500
2020-04-01,5076.799805,5272.299805,5076.799805,5258.600098,5258.600098,1064600
2020-04-02,5258.600098,5258.600098,5065.200195,5154.299805,5154.299805,1020200
2020-04-03,5154.299805,5246.799805,5022.399902,5067.500000,5067.500000,1072000
2020-04-06,5067.500000,5302.200195,5067.500000,5286.799805,5286.799805,912700
2020-04-07,5306.799805,5423.100098,5187.000000,5252.299805,5252.299805,1113300
2020-04-08,5252.299805,5321.000000,5121.899902,5206.899902,5206.899902,1158400
2020-04-09,5206.899902,5387.299805,5206.899902,5387.299805,5387.299805,914200
2020-04-14,5387.299805,5490.700195,5360.000000,5488.100098,5488.100098,1159400
2020-04-15,5488.100098,5533.000000,5416.399902,5466.700195,5466.700195,1015700
2020-04-16,5466.700195,5466.700195,5345.000000,5416.299805,5416.299805,1115600
2020-04-17,5416.299805,5563.600098,5416.299805,5487.500000,5487.500000,1125300
2020-04-20,5486.299805,5490.600098,5353.000000,5353.000000,5353.000000,855400
2020-04-21,5353.000000,5353.000000,5214.500000,5221.299805,5221.299805,960500
2020-04-22,5221.299805,5251.700195,5100.700195,5221.200195,5221.200195,996700
2020-04-23,5221.200195,5282.600098,5181.700195,5217.100098,5217.100098,877000
2020-04-24,5217.100098,5263.799805,5207.500000,5242.600098,5242.600098,773900
2020-04-27,5242.600098,5329.399902,5214.799805,5321.399902,5321.399902,691700
2020-04-28,5321.399902,5373.799805,5272.799805,5313.100098,5313.100098,851800
2020-04-29,5313.100098,5393.399902,5312.700195,5393.399902,5393.399902,882600
2020-04-30,5393.399902,5549.100098,5393.399902,5522.399902,5522.399902,1198100
